funzione;numero_agenti;risultati_veri_correnti;PSO risultati;PSO differenza;DE risultati;DE differenza;;;;
banana;20;0,00000000E+00;5,90919555E-11;5,90919555E-11;44,38977696;4,43897770E+01;;;;
banana;50;0,00000000E+00;7,50372134E-11;7,50372134E-11;8,729951406;8,72995141E+00;;;;
banana;100;0,00000000E+00;6,24435368E-11;6,24435368E-11;0,005665499;5,66549924E-03;;;;
banana;200;0,00000000E+00;4,97570803E-11;4,97570803E-11;2,37E-11;2,36567545E-11;;;;
banana;500;0,00000000E+00;5,34641040E-11;5,34641040E-11;1,41E-11;1,41129290E-11;;;;
banana;1000;0,00000000E+00;2,84741854E-11;2,84741854E-11;5,42E-11;5,41650239E-11;;;;
Rosenbrock;20;0,00000000E+00;7,57951585E-11;7,57951585E-11;18,05;1,80485454E+01;;;;
Rosenbrock;50;0,00000000E+00;7,29528948E-11;7,29528948E-11;2,192692233;2,19269223E+00;;;;
Rosenbrock;100;0,00000000E+00;6,73059844E-11;6,73059844E-11;0,022441392;2,24413915E-02;;;;
Rosenbrock;200;0,00000000E+00;6,55737616E-11;6,55737616E-11;3,07E-11;3,07311301E-11;;;;
Rosenbrock;500;0,00000000E+00;5,68086352E-11;5,68086352E-11;6,16E-11;6,15716875E-11;;;;
Rosenbrock;1000;0,00000000E+00;6,02649909E-11;6,02649909E-11;2,49E-11;2,49467426E-11;;;;
Beale;20;0,00000000E+00;7,99326371E-11;7,99326371E-11;0,109022747;1,09022747E-01;;;;
Beale;50;0,00000000E+00;6,24006015E-11;6,24006015E-11;0,017858847;1,78588472E-02;;;;
Beale;100;0,00000000E+00;4,36863972E-11;4,36863972E-11;0,000395697;3,95696948E-04;;;;
Beale;200;0,00000000E+00;6,68150420E-11;6,68150420E-11;5,97E-11;5,96739824E-11;;;;
Beale;500;0,00000000E+00;4,99948367E-11;4,99948367E-11;4,04E-11;4,03945690E-11;;;;
Beale;1000;0,00000000E+00;3,93329760E-11;3,93329760E-11;2,09E-11;2,08519698E-11;;;;
Matyas;20;0,00000000E+00;4,55037483E-11;4,55037483E-11;1,48673108;1,48673108E+00;;;;
Matyas;50;0,00000000E+00;4,66531432E-11;4,66531432E-11;1,42E-10;1,42065939E-10;;;;
Matyas;100;0,00000000E+00;3,71575784E-11;3,71575784E-11;5,49E-11;5,48999632E-11;;;;
Matyas;200;0,00000000E+00;5,61407761E-11;5,61407761E-11;5,35E-11;5,35466782E-11;;;;
Matyas;500;0,00000000E+00;4,29882863E-11;4,29882863E-11;5,11E-11;5,10888891E-11;;;;
Matyas;1000;0,00000000E+00;5,27703741E-11;5,27703741E-11;3,10E-11;3,09950629E-11;;;;
Levi;20;0,00000000E+00;4,72912425E-11;4,72912425E-11;0,029902096;2,99020957E-02;;;;
Levi;50;0,00000000E+00;5,45184841E-11;5,45184841E-11;6,19E-11;6,19312563E-11;;;;
Levi;100;0,00000000E+00;4,92244041E-11;4,92244041E-11;5,19E-11;5,19486167E-11;;;;
Levi;200;0,00000000E+00;5,20357900E-11;5,20357900E-11;4,59E-11;4,58777006E-11;;;;
Levi;500;0,00000000E+00;3,78551494E-11;3,78551494E-11;5,84E-11;5,84296536E-11;;;;
Levi;1000;0,00000000E+00;5,12129454E-11;5,12129454E-11;5,93E-11;5,93095236E-11;;;;
Schaffer_function_N_2;20;0,00000000E+00;5,61180435E-11;5,61180435E-11;0,001890131;1,89013119E-03;;;;
Schaffer_function_N_2;50;0,00000000E+00;5,15384901E-11;5,15384901E-11;3,65E-11;3,65375064E-11;;;;
Schaffer_function_N_2;100;0,00000000E+00;4,47622828E-11;4,47622828E-11;3,25E-11;3,24755667E-11;;;;
Schaffer_function_N_2;200;0,00000000E+00;3,92004540E-11;3,92004540E-11;1,62E-11;1,61922697E-11;;;;
Schaffer_function_N_2;500;0,00000000E+00;5,39936595E-11;5,39936595E-11;4,66E-11;4,66365280E-11;;;;
Schaffer_function_N_2;1000;0,00000000E+00;3,58205854E-11;3,58205854E-11;6,23E-11;6,23344043E-11;;;;
THREE_HUMP_CAMEL;20;0,00000000E+00;7,27297400E-11;7,27297400E-11;0,075118885;7,51188847E-02;;;;
THREE_HUMP_CAMEL;50;0,00000000E+00;2,48683091E-11;2,48683091E-11;1,32E-10;1,31956640E-10;;;;
THREE_HUMP_CAMEL;100;0,00000000E+00;4,46142928E-11;4,46142928E-11;4,02E-11;4,01728243E-11;;;;
THREE_HUMP_CAMEL;200;0,00000000E+00;4,06216000E-11;4,06216000E-11;6,33E-11;6,32565046E-11;;;;
THREE_HUMP_CAMEL;500;0,00000000E+00;4,20637527E-11;4,20637527E-11;3,63E-11;3,63172563E-11;;;;
THREE_HUMP_CAMEL;1000;0,00000000E+00;3,71747427E-11;3,71747427E-11;4,19E-11;4,19362147E-11;;;;
ACKLEY,GRIEWANK;20;0,00000000E+00;6,85480808E-11;6,85480808E-11;8,000032411;8,00003241E+00;;;;
ACKLEY,GRIEWANK;50;0,00000000E+00;8,01290589E-11;8,01290589E-11;6,61E-11;6,61064981E-11;;;;
ACKLEY,GRIEWANK;100;0,00000000E+00;6,34778452E-11;6,34778452E-11;6,33E-11;6,33410657E-11;;;;
ACKLEY,GRIEWANK;200;0,00000000E+00;5,35146150E-11;5,35146150E-11;6,93E-11;6,93259672E-11;;;;
ACKLEY,GRIEWANK;500;0,00000000E+00;6,45262510E-11;6,45262510E-11;7,62E-11;7,61692043E-11;;;;
ACKLEY,GRIEWANK;1000;0,00000000E+00;5,93620264E-11;5,93620264E-11;5,98E-11;5,97528249E-11;;;;
RASTRIGIN;20;0,00000000E+00;9,94959058E-02;9,94959058E-02;1,193982865;1,19398287E+00;;;;
RASTRIGIN;50;0,00000000E+00;4,72311967E-11;4,72311967E-11;3,70E-11;3,69574593E-11;;;;
RASTRIGIN;100;0,00000000E+00;5,65375302E-11;5,65375302E-11;3,49E-11;3,48592266E-11;;;;
RASTRIGIN;200;0,00000000E+00;3,94742017E-11;3,94742017E-11;5,19E-11;5,19015941E-11;;;;
RASTRIGIN;500;0,00000000E+00;4,66695127E-11;4,66695127E-11;4,85E-11;4,84661200E-11;;;;
RASTRIGIN;1000;0,00000000E+00;5,60746116E-11;5,60746116E-11;6,03E-11;6,03115780E-11;;;;
LEVY;20;0,00000000E+00;4,64246535E-11;4,64246535E-11;5,227732482;5,22773248E+00;;;;
LEVY;50;0,00000000E+00;5,08751119E-11;5,08751119E-11;3,60E-11;3,60391982E-11;;;;
LEVY;100;0,00000000E+00;5,16974220E-11;5,16974220E-11;4,63E-11;4,62979573E-11;;;;
LEVY;200;0,00000000E+00;5,20953745E-11;5,20953745E-11;4,83E-11;4,82805805E-11;;;;
LEVY;500;0,00000000E+00;5,78826065E-11;5,78826065E-11;4,97E-11;4,97423210E-11;;;;
LEVY;1000;0,00000000E+00;6,96160759E-11;6,96160759E-11;4,62E-11;4,62042088E-11;;;;
BOOTH;20;0,00000000E+00;4,83604934E-11;4,83604934E-11;6,340998722;6,34099872E+00;;;;
BOOTH;50;0,00000000E+00;3,56884328E-11;3,56884328E-11;5,13E-11;5,12561293E-11;;;;
BOOTH;100;0,00E+00;4,45737420E-11;4,45737420E-11;5,67E-11;5,66643655E-11;;;;
BOOTH;200;0,00E+00;3,63695651E-11;3,63695651E-11;5,68E-11;5,68406760E-11;;;;
BOOTH;500;0,00E+00;4,99875126E-11;4,99875126E-11;5,79E-11;5,78799946E-11;;;;
BOOTH;1000;0,00E+00;4,61935870E-11;4,61935870E-11;4,00E-11;3,99590689E-11;;;;
Schaffer_function_N_4;20;0,2926;2,92578846E-01;-1,54301495E-07;0,29651151;3,93251002E-03;;;;
Schaffer_function_N_4;50;0,2926;2,92578824E-01;-1,76482827E-07;0,292578785;-2,15061987E-07;;;;
Schaffer_function_N_4;100;0,2926;2,92578851E-01;-1,48775402E-07;0,29257876;-2,40040188E-07;;;;
Schaffer_function_N_4;200;0,2926;2,92578819E-01;-1,80853296E-07;0,292578813;-1,86536265E-07;;;;
Schaffer_function_N_4;500;0,2926;2,92578767E-01;-2,32570205E-07;0,292578792;-2,08077247E-07;;;;
Schaffer_function_N_4;1000;0,2926;2,92578753E-01;-2,46873929E-07;0,292578774;-2,25751568E-07;;;;
Parabolic;20;1,20E+01;1,20000000E+01;-3,71800368E-10;11,92435404;-7,56459593E-02;;;;
Parabolic;50;1,20E+01;1,20000000E+01;-4,11199963E-10;12;-3,92200050E-10;;;;
Parabolic;100;1,20E+01;1,20000000E+01;-5,18999954E-10;12;-4,58500793E-10;;;;
Parabolic;200;1,20E+01;1,20000000E+01;-2,85000468E-10;12;-5,58799229E-10;;;;
Parabolic;500;1,20000000E+01;1,20000000E+01;-4,12899936E-10;12;-5,03300512E-10;;;;
Parabolic;1000;1,20000000E+01;1,20000000E+01;-3,27100125E-10;12;-5,32699218E-10;;;;
Rastrigin;20;8,00000000E+01;7,99005041E+01;-9,94959060E-02;79,60201561;-3,97984386E-01;;;;
Rastrigin;50;8,00000000E+01;8,00000000E+01;-4,90999241E-10;79,80100819;-1,98991812E-01;;;;
Rastrigin;100;8,00000000E+01;8,00000000E+01;-4,88796559E-10;80;-4,74202011E-10;;;;
Rastrigin;200;8,00000000E+01;8,00000000E+01;-4,10395273E-10;80;-4,13095336E-10;;;;
Rastrigin;500;8,00000000E+01;8,00000000E+01;-3,83806764E-10;80;-3,90102173E-10;;;;
Rastrigin;1000;8,00000000E+01;8,00000000E+01;-5,13693976E-10;80;-4,34596359E-10;;;;
Styblinski;20;4,14238500E+02;4,14238479E+02;-2,08687130E-05;409,9933725;-4,24512746E+00;;;;
Styblinski;50;4,14238500E+02;4,14238479E+02;-2,08687130E-05;414,2384791;-2,08687130E-05;;;;
Styblinski;100;4,14238500E+02;4,14238479E+02;-2,08687130E-05;414,2384791;-2,08687130E-05;;;;
Styblinski;200;4,14238500E+02;4,14238479E+02;-2,08687130E-05;414,2384791;-2,08687130E-05;;;;
Styblinski;500;4,14238500E+02;4,14238479E+02;-2,08687130E-05;414,2384791;-2,08687130E-05;;;;
Styblinski;1000;4,14238500E+02;4,14238479E+02;-2,08687130E-05;414,2384791;-2,08687130E-05;;;;
